brand,horsepower,curbweight,fueltype,carbody,price
alfa-romero,111,2548,gas,convertible,13495.0
alfa-romero,111,2548,gas,convertible,16500.0
alfa-romero,154,2823,gas,hatchback,16500.0
audi,102,2337,gas,sedan,13950.0
audi,115,2824,gas,sedan,17450.0
audi,110,2507,gas,sedan,15250.0
audi,110,2844,gas,sedan,17710.0
audi,110,2954,gas,wagon,18920.0
audi,140,3086,gas,sedan,23875.0
audi,160,3053,gas,hatchback,17859.167
bmw,101,2395,gas,sedan,16430.0
bmw,101,2395,gas,sedan,16925.0
bmw,121,2710,gas,sedan,20970.0
bmw,121,2765,gas,sedan,21105.0
bmw,121,3055,gas,sedan,24565.0
bmw,182,3230,gas,sedan,30760.0
bmw,182,3380,gas,sedan,41315.0
bmw,182,3505,gas,sedan,36880.0
chevrolet,48,1488,gas,hatchback,5151.0
chevrolet,70,1874,gas,hatchback,6295.0
chevrolet,70,1909,gas,sedan,6575.0
dodge,68,1876,gas,hatchback,5572.0
dodge,68,1876,gas,hatchback,6377.0
dodge,102,2128,gas,hatchback,7957.0
dodge,68,1967,gas,hatchback,6229.0
dodge,68,1989,gas,sedan,6692.0
dodge,68,1989,gas,sedan,7609.0
dodge,102,2191,gas,sedan,8558.0
dodge,88,2535,gas,wagon,8921.0
dodge,145,2811,gas,hatchback,12964.0
honda,58,1713,gas,hatchback,6479.0
honda,76,1819,gas,hatchback,6855.0
honda,60,1837,gas,hatchback,5399.0
honda,76,1940,gas,hatchback,6529.0
honda,76,1956,gas,hatchback,7129.0
honda,76,2010,gas,sedan,7295.0
honda,76,2024,gas,wagon,7295.0
honda,86,2236,gas,hatchback,7895.0
honda,86,2289,gas,hatchback,9095.0
honda,86,2304,gas,sedan,8845.0
honda,86,2372,gas,sedan,10295.0
honda,101,2465,gas,sedan,12945.0
honda,100,2293,gas,sedan,10345.0
isuzu,78,2337,gas,sedan,6785.0
isuzu,70,1874,gas,sedan,8916.5
isuzu,70,1909,gas,sedan,8916.5
isuzu,90,2734,gas,hatchback,11048.0
jaguar,176,4066,gas,sedan,32250.0
jaguar,176,4066,gas,sedan,35550.0
jaguar,262,3950,gas,sedan,36000.0
mazda,68,1890,gas,hatchback,5195.0
mazda,68,1900,gas,hatchback,6095.0
mazda,68,1905,gas,hatchback,6795.0
mazda,68,1945,gas,sedan,6695.0
mazda,68,1950,gas,sedan,7395.0
mazda,101,2380,gas,hatchback,10945.0
mazda,101,2380,gas,hatchback,11845.0
mazda,101,2385,gas,hatchback,13645.0
mazda,135,2500,gas,hatchback,15645.0
mazda,84,2385,gas,hatchback,8845.0
mazda,84,2410,gas,sedan,8495.0
mazda,84,2385,gas,hatchback,10595.0
mazda,84,2410,gas,sedan,10245.0
mazda,64,2443,diesel,sedan,10795.0
mazda,84,2425,gas,hatchback,11245.0
mazda,120,2670,gas,sedan,18280.0
mazda,72,2700,diesel,sedan,18344.0
buick,123,3515,diesel,sedan,25552.0
buick,123,3750,diesel,wagon,28248.0
buick,123,3495,diesel,hardtop,28176.0
buick,123,3770,diesel,sedan,31600.0
buick,155,3740,gas,sedan,34184.0
buick,155,3685,gas,convertible,35056.0
buick,184,3900,gas,sedan,40960.0
buick,184,3715,gas,hardtop,45400.0
mercury,175,2910,gas,hatchback,16503.0
mitsubishi,68,1918,gas,hatchback,5389.0
mitsubishi,68,1944,gas,hatchback,6189.0
mitsubishi,68,2004,gas,hatchback,6669.0
